what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339158196553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339158197673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339158199363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339158217064
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1339158217092
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339158220569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339158221303
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339158233083
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339158233895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1339158237326
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.RunLast",1339158238053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339158238090
